Москва,Москва,0c5b2444-70a0-4932-980c-b4dc0d3f02b5
Санкт-Петербург,Санкт-Петербург,c2deb16a-0330-4f05-821f-1d09c93331e6
Новосибирск,Новосибирская,8dea00e3-9aab-4d8e-887c-ef2aaa546456
Екатеринбург,Свердловская,2763c110-cb8b-416a-9dac-ad28a55b4402
Нижний Новгород,Нижегородская,555e7d61-d9a7-4ba6-9770-6caa8198c483
Казань,Татарстан,93b3df57-4c89-44df-ac42-96f05e9cd3b9
Самара,Самарская,bb035cc3-1dc2-4627-9d25-a1bf2d4b936b
Омск,Омская,140e31da-27bf-4519-9ea0-6185d681d44e
Челябинск,Челябинская,a376e68d-724a-4472-be7c-891bdb09ae32
Ростов-на-Дону,Ростовская,c1cfe4b9-f7c2-423c-abfa-6ed1c05a15c5
Уфа,Башкортостан,7339e834-2cb4-4734-a4c7-1fca2c66e562
Волгоград,Волгоградская,a52b7389-0cfe-46fb-ae15-298652a64cf8
Пермь,Пермский,a309e4ce-2f36-4106-b1ca-53e0f48a6d95
Красноярск,Красноярский,9b968c73-f4d4-4012-8da8-3dacd4d4c1bd
Воронеж,Воронежская,5bf5ddff-6353-4a3d-80c4-6fb27f00c6c1
Саратов,Саратовская,bf465fda-7834-47d5-986b-ccdb584a85a6
Краснодар,Краснодарский,7dfa745e-aa19-4688-b121-b655c11e482f
Тольятти,Самарская,242e87c1-584d-4360-8c4c-aae2fe90048e
Барнаул,Алтайский,d13945a8-7017-46ab-b1e6-ede1e89317ad
Ижевск,Удмуртская,deb1d05a-71ce-40d1-b726-6ba85d70d58f
Ульяновск,Ульяновская,bebfd75d-a0da-4bf9-8307-2e2c85eac463
Владивосток,Приморский,7b6de6a5-86d0-4735-b11a-499081111af8
Ярославль,Ярославская,6b1bab7d-ee45-4168-a2a6-4ce2880d90d3
Иркутск,Иркутская,8eeed222-72e7-47c3-ab3a-9a553c31cf72
Тюмень,Тюменская,9ae64229-9f7b-4149-b27a-d1f6ec74b5ce
Махачкала,Дагестан,727cdf1e-1b70-4e07-8995-9bf7ca9abefb
Хабаровск,Хабаровский,a4859da8-9977-4b62-8436-4e1b98c5d13f
Оренбург,Оренбургская,dce97bff-deb2-4fd9-9aec-4f4327bbf89b
Новокузнецк,Кемеровская область - Кузбасс,b28b6f6f-1435-444e-95a6-68c499b0d27a
Кемерово,Кемеровская область - Кузбасс,94bb19a3-c1fa-410b-8651-ac1bf7c050cd
Рязань,Рязанская,86e5bae4-ef58-4031-b34f-5e9ff914cd55
Томск,Томская,e3b0eae8-a4ce-4779-ae04-5c0797de66be
Астрахань,Астраханская,a101dd8b-3aee-4bda-9c61-9df106f145ff
Пенза,Пензенская,ff3292b1-a1d2-47d4-b35b-ac06b50555cc
Набережные Челны,Татарстан,748d7afa-7407-4876-9f40-764ecdd09bbd
Липецк,Липецкая,eacb5f15-1a2e-432e-904a-ca56bd635f1b
Тула,Тульская,b2601b18-6da2-4789-9fbe-800dde06a2bb
